,ID,Label
21766,ccfd4570-bbca-11e8-b2bc-ac1f6b6435d0,16|2
21767,ca7c4670-bbca-11e8-b2bc-ac1f6b6435d0,6
21768,ca4a9170-bbca-11e8-b2bc-ac1f6b6435d0,1|2|0
21769,cbdc2b3e-bbca-11e8-b2bc-ac1f6b6435d0,12
21770,cb94da68-bbca-11e8-b2bc-ac1f6b6435d0,9|0
21771,cd66a8bc-bbca-11e8-b2bc-ac1f6b6435d0,9
21772,cd760adc-bbca-11e8-b2bc-ac1f6b6435d0,17
21773,cdaab52a-bbca-11e8-b2bc-ac1f6b6435d0,12|16|0
21774,cd31f5e0-bbca-11e8-b2bc-ac1f6b6435d0,2
21775,cf968fa8-bbca-11e8-b2bc-ac1f6b6435d0,12|2
21776,cea763a6-bbca-11e8-b2bc-ac1f6b6435d0,7
21777,d0ace4a0-bbca-11e8-b2bc-ac1f6b6435d0,12|0
21778,cffc1224-bbca-11e8-b2bc-ac1f6b6435d0,7|2|0
21779,cee7f934-bbca-11e8-b2bc-ac1f6b6435d0,5|0
21780,d0c1b088-bbca-11e8-b2bc-ac1f6b6435d0,3
21781,d159ba7c-bbca-11e8-b2bc-ac1f6b6435d0,2|0
21782,d318dec4-bbca-11e8-b2bc-ac1f6b6435d0,9
21783,d1fef6cc-bbca-11e8-b2bc-ac1f6b6435d0,1|13
21784,d108d54e-bbca-11e8-b2bc-ac1f6b6435d0,6
21785,d2268df4-bbca-11e8-b2bc-ac1f6b6435d0,0|13
21786,d3069052-bbca-11e8-b2bc-ac1f6b6435d0,12
21787,d3f33330-bbca-11e8-b2bc-ac1f6b6435d0,16|13
21788,d39b7492-bbca-11e8-b2bc-ac1f6b6435d0,16|7
21789,d48ebd00-bbca-11e8-b2bc-ac1f6b6435d0,5
21790,d52a06a2-bbca-11e8-b2bc-ac1f6b6435d0,7|0
21791,d4a65b54-bbca-11e8-b2bc-ac1f6b6435d0,0
21792,d5134c00-bbca-11e8-b2bc-ac1f6b6435d0,3
21793,d79a532e-bbca-11e8-b2bc-ac1f6b6435d0,16|9
21794,d73a6e8c-bbca-11e8-b2bc-ac1f6b6435d0,7|2
21795,d88fe898-bbca-11e8-b2bc-ac1f6b6435d0,10
21796,d92537b8-bbca-11e8-b2bc-ac1f6b6435d0,8
21797,d9769126-bbca-11e8-b2bc-ac1f6b6435d0,16|0|13
21798,d9d99186-bbca-11e8-b2bc-ac1f6b6435d0,3
21799,daa22470-bbca-11e8-b2bc-ac1f6b6435d0,0
21800,dc261180-bbca-11e8-b2bc-ac1f6b6435d0,6
21801,dd0989c4-bbca-11e8-b2bc-ac1f6b6435d0,14
21802,dd1f7fb8-bbca-11e8-b2bc-ac1f6b6435d0,3|0
21803,dd5cb36a-bbca-11e8-b2bc-ac1f6b6435d0,14|0
21804,df573730-bbca-11e8-b2bc-ac1f6b6435d0,14
21805,dea19dc6-bbca-11e8-b2bc-ac1f6b6435d0,5|0
