ID,Label
d318dec4-bbca-11e8-b2bc-ac1f6b6435d0,9
d1fef6cc-bbca-11e8-b2bc-ac1f6b6435d0,1|13
d108d54e-bbca-11e8-b2bc-ac1f6b6435d0,6
d2268df4-bbca-11e8-b2bc-ac1f6b6435d0,0|13
d3069052-bbca-11e8-b2bc-ac1f6b6435d0,12
d3f33330-bbca-11e8-b2bc-ac1f6b6435d0,16|13
d39b7492-bbca-11e8-b2bc-ac1f6b6435d0,16|7
d48ebd00-bbca-11e8-b2bc-ac1f6b6435d0,5
d52a06a2-bbca-11e8-b2bc-ac1f6b6435d0,7|0
d4a65b54-bbca-11e8-b2bc-ac1f6b6435d0,0
d5134c00-bbca-11e8-b2bc-ac1f6b6435d0,3
d79a532e-bbca-11e8-b2bc-ac1f6b6435d0,16|9
d73a6e8c-bbca-11e8-b2bc-ac1f6b6435d0,7|2
d88fe898-bbca-11e8-b2bc-ac1f6b6435d0,10
d92537b8-bbca-11e8-b2bc-ac1f6b6435d0,8
d9769126-bbca-11e8-b2bc-ac1f6b6435d0,16|0|13
d9d99186-bbca-11e8-b2bc-ac1f6b6435d0,3
daa22470-bbca-11e8-b2bc-ac1f6b6435d0,0
dc261180-bbca-11e8-b2bc-ac1f6b6435d0,6
dd0989c4-bbca-11e8-b2bc-ac1f6b6435d0,14
dd1f7fb8-bbca-11e8-b2bc-ac1f6b6435d0,3|0
dd5cb36a-bbca-11e8-b2bc-ac1f6b6435d0,14|0
df573730-bbca-11e8-b2bc-ac1f6b6435d0,14
dea19dc6-bbca-11e8-b2bc-ac1f6b6435d0,5|0
